t,rt,cond,sub,a,r,acc,s,block
54,NaN,2,236,1,1,1,2,1
55,NaN,2,236,1,0,1,2,1
56,588,2,236,2,1,1,3,1
57,468,2,236,2,0,1,1,1
58,676,2,236,2,1,1,3,1
59,790,2,236,2,0,0,2,1
60,979,2,236,2,1,1,1,1
61,1140,2,236,2,0,1,1,1
62,NaN,2,236,1,0,1,2,1
63,405,2,236,2,1,1,3,1
64,581,2,236,2,0,0,2,1
65,404,2,236,2,1,1,1,1
66,389,2,236,2,1,1,3,1
67,454,2,236,2,1,1,3,1
68,371,2,236,2,1,1,1,1
69,NaN,2,236,1,1,1,2,1
70,NaN,2,236,1,0,1,2,1
71,1070,2,236,2,1,1,3,1
72,628,2,236,2,1,1,1,1
73,661,2,236,2,1,1,1,1
74,NaN,2,236,1,1,1,2,1
75,505,2,236,2,1,1,3,1
76,NaN,2,236,1,0,1,2,1
77,679,2,236,2,0,1,1,1
78,1269,2,236,2,1,1,3,1
79,1028,2,236,2,1,1,1,1
80,NaN,2,236,1,0,1,2,1
81,761,2,236,2,1,1,3,1
82,500,2,236,2,1,1,1,1
83,NaN,2,236,1,1,1,2,1
84,904,2,236,2,0,1,3,1
85,724,2,236,2,1,1,1,1
86,NaN,2,236,1,1,1,2,1
87,617,2,236,2,1,1,3,1
88,613,2,236,2,1,1,3,1
89,NaN,2,236,1,0,1,2,1
90,394,2,236,2,0,1,1,1
91,693,2,236,2,1,0,2,1
92,885,2,236,2,0,1,1,1
93,565,2,236,2,1,1,3,1
94,613,2,236,2,1,1,1,1
95,533,2,236,2,1,1,3,1
96,1125,2,236,2,0,0,2,1
97,723,2,236,2,0,0,2,1
98,325,2,236,2,1,1,3,1
99,687,2,236,2,1,1,1,1
100,389,2,236,2,1,1,1,1
101,550,2,236,2,1,1,3,1
102,NaN,2,236,1,1,1,2,1
103,535,2,236,2,1,1,1,1
104,518,2,236,2,1,1,3,1
105,NaN,2,236,1,1,1,2,1
106,NaN,2,236,1,1,1,2,1
107,509,2,236,2,1,1,3,1
108,372,2,236,2,1,1,1,1
109,419,2,236,2,1,1,1,1
110,NaN,2,236,1,1,1,2,1
111,537,2,236,2,1,1,3,1
112,NaN,2,236,1,1,1,2,1
113,554,2,236,2,1,1,1,1
114,499,2,236,2,1,1,3,1
115,404,2,236,2,1,1,1,1
116,NaN,2,236,1,1,1,2,1
117,359,2,236,2,1,1,3,1
118,436,2,236,2,0,1,3,1
119,676,2,236,2,1,1,1,1
120,405,2,236,2,1,0,2,1
1,1355,2,237,2,1,1,1,1
2,NaN,2,237,1,0,1,2,1
3,885,2,237,2,1,1,3,1
4,756,2,237,2,1,1,1,1
5,568,2,237,2,1,1,3,1
6,NaN,2,237,1,1,1,2,1
7,NaN,2,237,1,1,1,2,1
8,687,2,237,2,1,1,3,1
9,411,2,237,2,0,1,1,1
10,727,2,237,2,1,1,3,1
11,NaN,2,237,1,0,0,1,1
12,615,2,237,2,0,0,2,1
13,NaN,2,237,1,1,1,2,1
14,446,2,237,2,0,1,3,1
15,NaN,2,237,1,0,0,1,1
16,456,2,237,2,1,1,3,1
17,NaN,2,237,1,1,0,1,1
18,422,2,237,2,1,0,2,1
19,NaN,2,237,1,0,0,1,1
20,478,2,237,2,1,1,3,1
21,739,2,237,2,1,0,2,1
22,NaN,2,237,1,0,0,1,1
23,675,2,237,2,0,0,2,1
24,420,2,237,2,0,1,3,1
25,NaN,2,237,1,0,0,1,1
26,498,2,237,2,0,0,2,1
27,546,2,237,2,1,1,3,1
28,NaN,2,237,1,1,0,1,1
29,776,2,237,2,0,0,2,1
30,619,2,237,2,0,1,3,1
31,1898,2,237,2,1,1,3,1
32,NaN,2,237,1,1,0,1,1
33,874,2,237,2,0,0,2,1
34,1252,2,237,2,0,1,3,1
35,NaN,2,237,1,0,0,1,1
36,1010,2,237,2,0,0,2,1
37,631,2,237,2,1,1,3,1
38,NaN,2,237,1,0,1,2,1
39,NaN,2,237,1,1,0,1,1
40,477,2,237,2,1,1,3,1
41,946,2,237,2,1,0,2,1
42,NaN,2,237,1,0,0,1,1
43,556,2,237,2,0,1,3,1
44,1047,2,237,2,0,0,2,1
45,NaN,2,237,1,1,0,1,1
46,NaN,2,237,1,0,0,1,1
47,NaN,2,237,1,1,1,2,1
48,581,2,237,2,0,1,3,1
49,NaN,2,237,1,1,1,2,1
50,480,2,237,2,1,1,3,1
51,NaN,2,237,1,1,0,1,1
52,NaN,2,237,1,0,0,1,1
53,707,2,237,2,0,0,2,1
54,479,2,237,2,1,1,3,1
55,NaN,2,237,1,1,1,2,1
56,NaN,2,237,1,1,0,1,1
57,591,2,237,2,0,1,3,1
58,664,2,237,2,1,1,3,1
59,NaN,2,237,1,1,1,2,1
60,NaN,2,237,1,0,0,1,1
61,901,2,237,2,1,1,3,1
62,NaN,2,237,1,0,0,1,1
63,661,2,237,2,0,0,2,1
64,NaN,2,237,1,1,1,2,1
65,447,2,237,2,1,1,1,1
66,743,2,237,2,0,1,3,1
67,821,2,237,2,1,1,1,1
68,513,2,237,2,1,1,3,1
69,NaN,2,237,1,0,1,2,1
70,537,2,237,2,0,1,1,1
71,NaN,2,237,1,1,1,2,1
72,422,2,237,2,1,1,3,1
73,1191,2,237,2,1,1,3,1
74,NaN,2,237,1,1,1,2,1
75,563,2,237,2,1,1,1,1
76,NaN,2,237,1,0,1,2,1
77,883,2,237,2,1,1,1,1
78,1083,2,237,2,0,1,3,1
79,NaN,2,237,1,1,1,2,1
80,647,2,237,2,1,1,1,1
81,748,2,237,2,1,1,3,1
82,1034,2,237,2,1,1,1,1
83,587,2,237,2,1,1,3,1
84,NaN,2,237,1,1,1,2,1
85,674,2,237,2,1,1,3,1
86,1027,2,237,2,0,1,1,1
87,NaN,2,237,1,1,1,2,1
88,NaN,2,237,1,1,1,2,1
89,964,2,237,2,0,1,1,1
90,490,2,237,2,1,1,3,1
91,928,2,237,2,1,1,1,1
92,NaN,2,237,1,1,1,2,1
93,498,2,237,2,0,1,3,1
94,868,2,237,2,1,1,3,1
95,848,2,237,2,0,1,1,1
96,NaN,2,237,1,0,1,2,1
97,NaN,2,237,1,1,1,2,1
98,546,2,237,2,1,1,1,1
99,575,2,237,2,1,1,3,1
100,NaN,2,237,1,1,1,2,1
101,604,2,237,2,1,1,1,1
102,500,2,237,2,1,1,3,1
103,NaN,2,237,1,1,1,2,1
104,479,2,237,2,1,1,3,1
105,440,2,237,2,0,1,1,1
106,1821,2,237,2,1,1,1,1
107,694,2,237,2,1,1,3,1
108,NaN,2,237,1,0,1,2,1
109,568,2,237,2,1,1,1,1
110,468,2,237,2,1,1,3,1
111,NaN,2,237,1,1,1,2,1
112,603,2,237,2,1,1,1,1
113,NaN,2,237,1,1,1,2,1
114,528,2,237,2,0,1,3,1
115,599,2,237,2,1,1,1,1
116,948,2,237,2,1,1,3,1
117,NaN,2,237,1,1,1,2,1
118,410,2,237,2,1,1,3,1
119,777,2,237,2,1,1,1,1
120,NaN,2,237,1,1,1,2,1
1,906,2,238,2,1,1,1,1
2,349,2,238,2,1,1,3,1
3,NaN,2,238,1,1,1,2,1
4,292,2,238,2,1,1,1,1
5,253,2,238,2,0,0,2,1
6,474,2,238,2,1,1,3,1
7,471,2,238,2,1,1,3,1
8,516,2,238,2,1,1,1,1
9,NaN,2,238,1,1,1,2,1
10,431,2,238,2,1,1,1,1
11,NaN,2,238,1,1,1,2,1
12,192,2,238,2,1,1,3,1
13,592,2,238,2,1,1,3,1
14,985,2,238,2,1,1,1,1
15,1699,2,238,2,0,0,2,1
16,NaN,2,238,1,1,1,2,1
17,763,2,238,2,1,1,3,1
18,1148,2,238,2,0,1,1,1
19,NaN,2,238,1,1,1,2,1
20,530,2,238,2,0,1,1,1
21,1447,2,238,2,1,1,3,1
22,NaN,2,238,1,1,1,2,1
23,494,2,238,2,1,1,1,1
24,585,2,238,2,0,1,3,1
25,NaN,2,238,1,1,1,2,1
26,540,2,238,2,1,1,3,1
27,707,2,238,2,1,1,1,1
28,513,2,238,2,1,1,3,1
29,NaN,2,238,1,1,1,2,1
30,552,2,238,2,0,1,1,1
31,452,2,238,2,1,1,3,1
32,NaN,2,238,1,0,0,1,1
33,NaN,2,238,1,1,1,2,1
34,439,2,238,2,0,1,1,1
35,NaN,2,238,1,1,1,2,1
36,461,2,238,2,0,1,3,1
37,377,2,238,2,0,0,2,1
38,252,2,238,2,1,1,3,1
39,430,2,238,2,0,1,1,1
40,762,2,238,2,1,1,1,1
41,NaN,2,238,1,1,1,2,1
42,344,2,238,2,1,1,3,1
43,536,2,238,2,1,1,3,1
44,797,2,238,2,1,1,1,1
45,NaN,2,238,1,1,1,2,1
46,545,2,238,2,1,1,1,1
47,492,2,238,2,0,1,3,1
48,NaN,2,238,1,1,1,2,1
49,NaN,2,238,1,1,1,2,1
50,950,2,238,2,1,1,1,1
51,583,2,238,2,1,1,3,1
52,NaN,2,238,1,0,0,3,1
53,595,2,238,2,1,1,1,1
54,374,2,238,2,0,0,2,1
55,423,2,238,2,1,1,1,1
56,NaN,2,238,1,1,1,2,1
57,369,2,238,2,0,1,3,1
58,NaN,2,238,1,0,1,2,1
59,NaN,2,238,1,1,0,3,1
60,670,2,238,2,1,1,1,1
61,NaN,2,238,1,1,1,2,1
62,587,2,238,2,1,1,1,1
63,325,2,238,2,1,1,3,1
64,479,2,238,2,0,1,1,1
65,847,2,238,2,0,0,2,1
66,524,2,238,2,1,1,3,1
67,583,2,238,2,1,1,3,1
68,566,2,238,2,1,1,1,1
69,NaN,2,238,1,1,1,2,1
70,429,2,238,2,0,1,1,1
71,449,2,238,2,1,1,3,1
72,NaN,2,238,1,1,1,2,1
73,529,2,238,2,0,1,1,1
74,NaN,2,238,1,1,1,2,1
75,538,2,238,2,1,1,3,1
76,742,2,238,2,1,1,3,1
77,NaN,2,238,1,1,1,2,1
78,948,2,238,2,1,1,1,1
79,1126,2,238,2,1,1,1,1
80,750,2,238,2,1,1,3,1
81,NaN,2,238,1,0,1,2,1
82,NaN,2,238,1,0,1,2,1
83,503,2,238,2,1,1,3,1
84,828,2,238,2,0,1,1,1
85,NaN,2,238,1,1,1,2,1
86,799,2,238,2,1,1,1,1
87,700,2,238,2,1,1,3,1
88,647,2,238,2,1,1,1,1
89,1416,2,238,2,1,1,3,1
90,NaN,2,238,1,1,1,2,1
91,NaN,2,238,1,0,1,2,1
92,1073,2,238,2,0,1,1,1
93,447,2,238,2,1,1,3,1
94,480,2,238,2,1,1,3,1
95,380,2,238,2,0,0,2,1
96,815,2,238,2,0,1,1,1
97,NaN,2,238,1,0,0,1,1
98,NaN,2,238,1,1,1,2,1
99,486,2,238,2,1,1,3,1
100,556,2,238,2,1,1,3,1
101,NaN,2,238,1,1,1,2,1
102,NaN,2,238,1,0,0,1,1
103,386,2,238,2,1,1,3,1
104,NaN,2,238,1,1,1,2,1
105,NaN,2,238,1,0,0,1,1
106,740,2,238,2,1,1,3,1
107,NaN,2,238,1,1,1,2,1
108,NaN,2,238,1,0,0,1,1
109,949,2,238,2,1,1,3,1
110,NaN,2,238,1,0,0,1,1
111,NaN,2,238,1,1,1,2,1
112,544,2,238,2,1,1,3,1
113,NaN,2,238,1,1,1,2,1
114,NaN,2,238,1,0,0,1,1
115,775,2,238,2,1,1,3,1
116,NaN,2,238,1,1,1,2,1
117,NaN,2,238,1,0,0,1,1
118,394,2,238,2,1,1,3,1
119,NaN,2,238,1,1,1,2,1
120,NaN,2,238,1,1,0,1,1
1,NaN,2,239,1,0,0,3,1
2,NaN,2,239,1,1,1,2,1
3,1238,2,239,2,1,1,1,1
4,799,2,239,2,0,1,1,1
5,NaN,2,239,1,1,1,2,1
6,584,2,239,2,1,1,3,1
7,934,2,239,2,1,1,1,1
8,1524,2,239,2,1,0,2,1
9,988,2,239,2,1,1,3,1
10,NaN,2,239,1,1,1,2,1
11,815,2,239,2,1,1,1,1
12,568,2,239,2,1,1,3,1
13,526,2,239,2,1,1,3,1
14,NaN,2,239,1,1,1,2,1
15,718,2,239,2,0,1,1,1
16,965,2,239,2,1,1,1,1
17,972,2,239,2,1,1,3,1
18,NaN,2,239,1,0,1,2,1
19,738,2,239,2,1,1,1,1
20,1161,2,239,2,0,0,2,1
21,689,2,239,2,1,1,3,1
22,590,2,239,2,1,1,3,1
23,946,2,239,2,0,1,1,1
24,NaN,2,239,1,1,1,2,1
25,1118,2,239,2,1,1,1,1
26,635,2,239,2,0,1,3,1
27,988,2,239,2,0,0,2,1
28,723,2,239,2,1,1,3,1
29,NaN,2,239,1,0,1,2,1
30,901,2,239,2,1,1,1,1
31,1099,2,239,2,1,1,1,1
32,NaN,2,239,1,1,1,2,1
33,608,2,239,2,1,1,3,1
34,704,2,239,2,1,1,1,1
35,NaN,2,239,1,1,1,2,1
36,478,2,239,2,1,1,3,1
37,956,2,239,2,0,1,1,1
38,NaN,2,239,1,0,1,2,1
39,541,2,239,2,1,1,3,1
40,907,2,239,2,1,1,1,1
41,485,2,239,2,1,1,3,1
42,1299,2,239,2,0,0,2,1
43,1003,2,239,2,1,1,1,1
44,NaN,2,239,1,0,1,2,1
45,563,2,239,2,1,1,3,1
46,813,2,239,2,1,1,1,1
47,530,2,239,2,0,1,3,1
48,NaN,2,239,1,1,1,2,1
49,585,2,239,2,1,1,3,1
50,639,2,239,2,0,1,1,1
51,NaN,2,239,1,1,1,2,1
52,NaN,2,239,1,1,1,2,1
53,689,2,239,2,1,1,3,1
54,895,2,239,2,1,1,1,1
55,755,2,239,2,0,1,3,1
56,NaN,2,239,1,1,1,2,1
57,1360,2,239,2,0,1,1,1
58,NaN,2,239,1,1,0,1,1
59,1060,2,239,2,0,1,3,1
60,NaN,2,239,1,0,1,2,1
61,NaN,2,239,1,1,1,2,1
62,953,2,239,2,0,1,1,1
63,674,2,239,2,1,1,3,1
64,583,2,239,2,1,1,3,1
65,NaN,2,239,1,1,1,2,1
66,707,2,239,2,1,1,1,1
67,1423,2,239,2,1,1,1,1
68,1395,2,239,2,0,1,3,1
69,NaN,2,239,1,1,1,2,1
70,595,2,239,2,0,1,3,1
71,806,2,239,2,1,1,1,1
72,NaN,2,239,1,1,1,2,1
73,NaN,2,239,1,1,1,2,1
74,1376,2,239,2,1,1,1,1
75,772,2,239,2,1,1,3,1
76,1402,2,239,2,1,1,3,1
77,987,2,239,2,1,1,1,1
78,NaN,2,239,1,0,1,2,1
79,729,2,239,2,1,1,3,1
80,NaN,2,239,1,0,1,2,1
81,986,2,239,2,1,1,1,1
82,NaN,2,239,1,1,1,2,1
83,726,2,239,2,1,1,3,1
84,1206,2,239,2,1,1,1,1
85,607,2,239,2,1,1,1,1
86,NaN,2,239,1,1,1,2,1
87,703,2,239,2,1,1,3,1
88,975,2,239,2,1,1,3,1
89,1184,2,239,2,1,1,1,1
90,1381,2,239,2,0,0,2,1
91,735,2,239,2,1,1,1,1
92,NaN,2,239,1,1,1,2,1
93,1143,2,239,2,1,1,3,1
94,831,2,239,2,0,1,3,1
95,NaN,2,239,1,1,1,2,1
96,1042,2,239,2,1,1,1,1
97,NaN,2,239,1,1,1,2,1
98,734,2,239,2,1,1,3,1
99,990,2,239,2,1,1,1,1
100,823,2,239,2,0,1,3,1
101,NaN,2,239,1,1,1,2,1
102,536,2,239,2,1,1,1,1
103,598,2,239,2,0,1,3,1
104,513,2,239,2,1,1,1,1
105,NaN,2,239,1,0,1,2,1
106,NaN,2,239,1,1,1,2,1
107,609,2,239,2,1,1,1,1
108,671,2,239,2,1,1,3,1
109,897,2,239,2,1,1,1,1
110,NaN,2,239,1,1,1,2,1
111,643,2,239,2,1,1,3,1
112,705,2,239,2,0,1,1,1
113,499,2,239,2,0,1,3,1
114,NaN,2,239,1,1,1,2,1
115,581,2,239,2,1,1,3,1
116,1829,2,239,2,1,1,1,1
117,NaN,2,239,1,1,1,2,1
118,NaN,2,239,1,1,1,2,1
119,570,2,239,2,1,1,1,1
120,594,2,239,2,1,1,3,1
1,1079,1,240,2,0,NaN,3,1
2,1481,1,240,2,0,0,2,1
3,NaN,1,240,1,1,0,1,1
4,NaN,1,240,1,1,1,2,1
5,1631,1,240,2,1,NaN,3,1
6,843,1,240,2,1,1,1,1
7,713,1,240,2,1,1,1,1
8,NaN,1,240,1,0,1,2,1
9,699,1,240,2,1,NaN,3,1
10,644,1,240,2,1,NaN,3,1
11,NaN,1,240,1,1,1,2,1
12,554,1,240,2,1,1,1,1
13,1725,1,240,2,1,0,2,1
14,637,1,240,2,0,NaN,3,1
15,625,1,240,2,1,1,1,1
16,NaN,1,240,1,0,NaN,3,1
17,678,1,240,2,0,0,2,1
18,526,1,240,2,1,1,1,1
19,541,1,240,2,1,1,1,1
20,NaN,1,240,1,0,1,2,1
21,1341,1,240,2,0,NaN,3,1
22,NaN,1,240,1,1,NaN,3,1
23,NaN,1,240,1,0,1,2,1
24,505,1,240,2,1,1,1,1
25,NaN,1,240,1,0,NaN,3,1
26,531,1,240,2,1,1,1,1
27,NaN,1,240,1,1,1,2,1
28,578,1,240,2,0,0,2,1
29,558,1,240,2,1,1,1,1
30,NaN,1,240,1,0,NaN,3,1
31,NaN,1,240,1,0,NaN,3,1
32,NaN,1,240,1,1,1,2,1
33,535,1,240,2,1,1,1,1
34,499,1,240,2,0,1,1,1
35,622,1,240,2,0,0,2,1
36,NaN,1,240,1,0,NaN,3,1
37,NaN,1,240,1,0,NaN,3,1
38,971,1,240,2,0,0,2,1
39,683,1,240,2,1,1,1,1
40,641,1,240,2,0,1,1,1
41,NaN,1,240,1,0,1,2,1
42,1134,1,240,2,0,NaN,3,1
43,NaN,1,240,1,1,1,2,1
44,668,1,240,2,1,1,1,1
45,NaN,1,240,1,1,NaN,3,1
46,NaN,1,240,1,1,1,2,1
47,417,1,240,2,1,1,1,1
48,NaN,1,240,1,1,NaN,3,1
49,510,1,240,2,1,1,1,1
50,601,1,240,2,0,NaN,3,1
51,614,1,240,2,1,0,2,1
52,879,1,240,2,0,0,2,1
53,NaN,1,240,1,0,NaN,3,1
54,519,1,240,2,1,1,1,1
55,907,1,240,2,0,1,1,1
56,515,1,240,2,0,0,2,1
57,NaN,1,240,1,0,NaN,3,1
58,NaN,1,240,1,0,NaN,3,1
59,NaN,1,240,1,1,1,2,1
60,507,1,240,2,1,1,1,1
61,NaN,1,240,1,1,1,2,1
62,443,1,240,2,0,1,1,1
63,511,1,240,2,1,NaN,3,1
64,NaN,1,240,1,0,0,1,1
65,640,1,240,2,1,NaN,3,1
66,706,1,240,2,0,0,2,1
67,NaN,1,240,1,0,0,1,1
68,NaN,1,240,1,1,1,2,1
69,728,1,240,2,0,NaN,3,1
70,673,1,240,2,0,NaN,3,1
71,NaN,1,240,1,1,0,1,1
72,NaN,1,240,1,0,1,2,1
73,454,1,240,2,0,0,2,1
74,1351,1,240,2,1,NaN,3,1
75,976,1,240,2,1,1,1,1
76,1032,1,240,2,1,1,1,1
77,NaN,1,240,1,1,NaN,3,1
78,448,1,240,2,1,0,2,1
79,938,1,240,2,1,1,1,1
80,764,1,240,2,1,NaN,3,1
81,482,1,240,2,0,0,2,1
82,502,1,240,2,1,NaN,3,1
83,NaN,1,240,1,1,1,2,1
84,739,1,240,2,1,1,1,1
85,NaN,1,240,1,0,NaN,3,1
86,585,1,240,2,0,0,2,1
87,637,1,240,2,0,1,1,1
88,729,1,240,2,1,1,1,1
89,NaN,1,240,1,0,1,2,1
90,NaN,1,240,1,1,NaN,3,1
91,581,1,240,2,0,0,2,1
92,528,1,240,2,1,1,1,1
93,679,1,240,2,0,NaN,3,1
94,724,1,240,2,0,NaN,3,1
95,711,1,240,2,0,1,1,1
96,NaN,1,240,1,1,1,2,1
97,454,1,240,2,1,1,1,1
98,NaN,1,240,1,0,NaN,3,1
99,NaN,1,240,1,1,1,2,1
100,424,1,240,2,1,1,1,1
101,NaN,1,240,1,1,1,2,1
102,383,1,240,2,0,NaN,3,1
103,1508,1,240,2,1,NaN,3,1
104,554,1,240,2,0,1,1,1
105,962,1,240,2,1,0,2,1
106,NaN,1,240,1,1,NaN,3,1
107,968,1,240,2,0,0,2,1
108,574,1,240,2,1,1,1,1
109,769,1,240,2,0,1,1,1
110,692,1,240,2,0,NaN,3,1
111,NaN,1,240,1,1,1,2,1
112,459,1,240,2,1,1,1,1
113,NaN,1,240,1,1,1,2,1
114,557,1,240,2,1,NaN,3,1
115,472,1,240,2,0,0,2,1
116,716,1,240,2,1,1,1,1
117,714,1,240,2,1,NaN,3,1
118,NaN,1,240,1,0,NaN,3,1
119,770,1,240,2,1,0,2,1
120,725,1,240,2,1,1,1,1
1,NaN,2,241,1,0,0,3,1
2,802,2,241,2,0,1,1,1
3,1156,2,241,2,0,0,2,1
4,NaN,2,241,1,1,1,2,1
5,891,2,241,2,1,1,3,1
6,NaN,2,241,1,1,0,1,1
7,551,2,241,2,1,1,3,1
8,NaN,2,241,1,0,0,1,1
9,1003,2,241,2,0,0,2,1
10,533,2,241,2,1,1,3,1
11,NaN,2,241,1,0,0,1,1
12,1018,2,241,2,0,0,2,1
13,NaN,2,241,1,0,0,1,1
14,NaN,2,241,1,0,1,2,1
15,959,2,241,2,1,1,3,1
16,NaN,2,241,1,0,0,1,1
17,992,2,241,2,1,1,3,1
18,NaN,2,241,1,1,1,2,1
19,522,2,241,2,0,1,3,1
20,559,2,241,2,1,1,1,1
21,NaN,2,241,1,1,1,2,1
22,507,2,241,2,1,1,3,1
23,NaN,2,241,1,0,0,1,1
24,NaN,2,241,1,1,1,2,1
25,441,2,241,2,1,1,3,1
26,NaN,2,241,1,1,0,1,1
27,434,2,241,2,0,0,2,1
28,984,2,241,2,0,1,1,1
29,578,2,241,2,0,0,2,1
30,446,2,241,2,1,1,3,1
31,819,2,241,2,1,1,3,1
32,NaN,2,241,1,0,0,1,1
33,NaN,2,241,1,1,1,2,1
34,607,2,241,2,1,1,3,1
35,660,2,241,2,1,1,1,1
36,NaN,2,241,1,1,1,2,1
37,485,2,241,2,1,1,3,1
38,894,2,241,2,1,1,1,1
39,535,2,241,2,0,0,2,1
40,481,2,241,2,1,1,3,1
41,NaN,2,241,1,0,0,1,1
42,NaN,2,241,1,1,1,2,1
43,622,2,241,2,1,1,3,1
44,NaN,2,241,1,0,0,1,1
45,459,2,241,2,1,0,2,1
46,NaN,2,241,1,0,1,2,1
47,1079,2,241,2,1,1,1,1
48,423,2,241,2,1,1,3,1
49,796,2,241,2,1,1,3,1
50,536,2,241,2,0,0,2,1
51,411,2,241,2,1,1,1,1
52,NaN,2,241,1,0,0,1,1
53,590,2,241,2,1,1,3,1
54,961,2,241,2,0,0,2,1
55,577,2,241,2,1,1,3,1
56,863,2,241,2,1,1,1,1
57,510,2,241,2,0,0,2,1
58,986,2,241,2,1,1,1,1
59,446,2,241,2,1,0,2,1
60,613,2,241,2,1,1,3,1
61,1697,2,241,2,0,0,2,1
62,NaN,2,241,1,0,0,1,1
63,400,2,241,2,1,1,3,1
64,NaN,2,241,1,0,0,1,1
65,NaN,2,241,1,0,1,2,1
66,372,2,241,2,1,1,3,1
67,756,2,241,2,0,0,2,1
68,NaN,2,241,1,0,0,1,1
69,662,2,241,2,1,1,3,1
70,525,2,241,2,1,1,1,1
71,723,2,241,2,1,1,3,1
72,559,2,241,2,0,0,2,1
73,1016,2,241,2,0,1,1,1
74,494,2,241,2,0,0,2,1
75,512,2,241,2,1,1,3,1
76,483,2,241,2,1,1,1,1
77,730,2,241,2,1,1,3,1
78,NaN,2,241,1,1,1,2,1
79,NaN,2,241,1,0,0,1,1
80,614,2,241,2,1,1,3,1
81,488,2,241,2,0,0,2,1
82,NaN,2,241,1,1,1,2,1
83,619,2,241,2,0,1,3,1
84,NaN,2,241,1,0,0,1,1
85,685,2,241,2,1,1,3,1
86,NaN,2,241,1,0,0,1,1
87,454,2,241,2,0,0,2,1
88,NaN,2,241,1,0,0,1,1
89,570,2,241,2,0,1,3,1
90,1016,2,241,2,0,0,2,1
91,NaN,2,241,1,0,0,1,1
92,494,2,241,2,1,1,3,1
93,952,2,241,2,1,0,2,1
94,994,2,241,2,0,0,2,1
95,1008,2,241,2,1,1,1,1
96,659,2,241,2,1,1,3,1
97,895,2,241,2,1,1,3,1
98,NaN,2,241,1,0,0,1,1
99,NaN,2,241,1,1,1,2,1
100,NaN,2,241,1,1,1,2,1
101,NaN,2,241,1,0,0,1,1
102,803,2,241,2,0,1,3,1
103,1095,2,241,2,0,1,1,1
104,782,2,241,2,1,1,3,1
105,NaN,2,241,1,1,1,2,1
106,524,2,241,2,1,0,2,1
107,985,2,241,2,1,1,1,1
108,491,2,241,2,0,1,3,1
109,NaN,2,241,1,0,0,1,1
110,NaN,2,241,1,1,1,2,1
111,625,2,241,2,1,1,3,1
112,NaN,2,241,1,1,1,2,1
113,1278,2,241,2,1,1,1,1
114,735,2,241,2,0,1,3,1
115,NaN,2,241,1,1,1,2,1
116,606,2,241,2,0,1,3,1
117,NaN,2,241,1,0,0,1,1
118,607,2,241,2,0,1,3,1
119,577,2,241,2,1,0,2,1
120,969,2,241,2,1,1,1,1
1,1544,1,242,2,1,NaN,3,1
2,416,1,242,2,1,0,2,1
3,359,1,242,2,1,1,1,1
4,516,1,242,2,1,1,1,1
5,640,1,242,2,1,NaN,3,1
6,387,1,242,2,0,0,2,1
7,479,1,242,2,1,1,1,1
8,NaN,1,242,1,0,1,2,1
9,449,1,242,2,1,NaN,3,1
10,814,1,242,2,0,NaN,3,1
11,452,1,242,2,0,0,2,1
12,348,1,242,2,1,1,1,1
13,1622,1,242,2,0,NaN,3,1
14,738,1,242,2,1,1,1,1
15,NaN,1,242,1,1,1,2,1
16,NaN,1,242,1,0,NaN,3,1
17,745,1,242,2,0,0,2,1
18,444,1,242,2,0,1,1,1
19,572,1,242,2,0,0,2,1
20,427,1,242,2,0,1,1,1
21,536,1,242,2,0,NaN,3,1
22,NaN,1,242,1,1,1,2,1
23,711,1,242,2,1,1,1,1
24,NaN,1,242,1,0,NaN,3,1
25,470,1,242,2,1,1,1,1
26,NaN,1,242,1,0,NaN,3,1
27,567,1,242,2,0,0,2,1
28,1123,1,242,2,1,0,2,1
29,463,1,242,2,1,1,1,1
30,NaN,1,242,1,0,NaN,3,1
31,888,1,242,2,1,0,2,1
32,NaN,1,242,1,1,NaN,3,1
33,738,1,242,2,1,1,1,1
34,1117,1,242,2,0,0,2,1
35,736,1,242,2,1,1,1,1
36,535,1,242,2,0,NaN,3,1
37,977,1,242,2,0,0,2,1
38,1204,1,242,2,0,NaN,3,1
39,360,1,242,2,0,1,1,1
40,707,1,242,2,0,0,2,1
41,1154,1,242,2,1,NaN,3,1
42,1245,1,242,2,1,1,1,1
43,832,1,242,2,1,1,1,1
44,736,1,242,2,0,NaN,3,1
45,1007,1,242,2,0,0,2,1
46,1095,1,242,2,1,NaN,3,1
47,761,1,242,2,0,1,1,1
48,NaN,1,242,1,1,1,2,1
49,528,1,242,2,1,NaN,3,1
50,492,1,242,2,0,0,2,1
51,NaN,1,242,1,1,0,1,1
52,NaN,1,242,1,1,1,2,1
53,425,1,242,2,1,NaN,3,1
54,557,1,242,2,0,1,1,1
55,NaN,1,242,1,1,1,2,1
56,1097,1,242,2,1,1,1,1
57,992,1,242,2,1,NaN,3,1
58,865,1,242,2,1,1,1,1
59,969,1,242,2,0,0,2,1
60,495,1,242,2,0,NaN,3,1
61,678,1,242,2,1,0,2,1
62,NaN,1,242,1,0,0,1,1
63,1451,1,242,2,0,NaN,3,1
64,1000,1,242,2,0,0,2,1
65,588,1,242,2,1,NaN,3,1
66,717,1,242,2,1,1,1,1
67,NaN,1,242,1,1,NaN,3,1
68,558,1,242,2,0,0,2,1
69,459,1,242,2,1,1,1,1
70,645,1,242,2,0,1,1,1
71,929,1,242,2,1,NaN,3,1
