sub,t,s,a,acc,r,rt,cond,block
3,219,3,2,NaN,1,1860,1,2
3,220,2,1,1,0,NaN,1,2
3,221,1,2,1,1,1133,1,2
3,222,3,2,NaN,1,1788,1,2
3,223,1,2,1,1,1146,1,2
3,224,3,1,NaN,0,NaN,1,2
3,225,2,2,0,0,1214,1,2
3,226,3,1,NaN,0,NaN,1,2
3,227,2,2,0,0,824,1,2
3,228,1,2,1,1,812,1,2
3,229,2,1,1,1,NaN,1,2
3,230,1,1,0,0,NaN,1,2
3,231,3,2,NaN,0,419,1,2
3,232,3,1,NaN,1,NaN,1,2
3,233,2,1,1,0,NaN,1,2
3,234,1,2,1,1,508,1,2
3,235,1,2,1,0,583,1,2
3,236,3,1,NaN,1,NaN,1,2
